NO,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
94.0,20.0,male,2.0,rent,little,rich,3617.0,24.0,furniture/equipment
95.0,54.0,male,2.0,own,rich,moderate,1318.0,12.0,car
96.0,58.0,male,2.0,rent,little,moderate,15945.0,54.0,business
97.0,61.0,female,2.0,own,little,little,2012.0,12.0,education
98.0,34.0,male,2.0,own,moderate,moderate,2622.0,18.0,business
99.0,36.0,male,2.0,own,little,moderate,2337.0,36.0,radio/TV
100.0,36.0,male,3.0,rent,little,moderate,7057.0,20.0,car
101.0,41.0,male,1.0,rent,moderate,little,1469.0,24.0,car
102.0,24.0,male,2.0,rent,little,moderate,2323.0,36.0,radio/TV
103.0,24.0,female,2.0,own,little,little,932.0,6.0,radio/TV
104.0,35.0,male,2.0,rent,little,moderate,1919.0,9.0,furniture/equipment
105.0,26.0,male,2.0,rent,little,little,2445.0,12.0,car
106.0,39.0,male,3.0,own,little,moderate,11938.0,24.0,vacation/others
107.0,39.0,male,3.0,own,little,little,6458.0,18.0,car
108.0,32.0,male,2.0,own,little,moderate,6078.0,12.0,car
109.0,30.0,female,2.0,own,little,little,7721.0,24.0,furniture/equipment
110.0,35.0,male,2.0,own,quite rich,moderate,1410.0,14.0,business
111.0,31.0,male,2.0,own,moderate,moderate,1449.0,6.0,business
112.0,23.0,female,2.0,rent,little,rich,392.0,15.0,education
113.0,28.0,male,1.0,rent,little,moderate,6260.0,18.0,car
114.0,25.0,female,2.0,own,little,little,7855.0,36.0,car
115.0,35.0,male,2.0,own,quite rich,little,1680.0,12.0,radio/TV
116.0,47.0,male,2.0,own,little,little,3578.0,48.0,radio/TV
117.0,30.0,female,3.0,own,little,little,7174.0,42.0,radio/TV
118.0,27.0,female,2.0,rent,little,little,2132.0,10.0,furniture/equipment
119.0,23.0,female,2.0,own,quite rich,little,4281.0,33.0,furniture/equipment
120.0,36.0,male,3.0,own,quite rich,moderate,2366.0,12.0,car
121.0,25.0,female,2.0,own,little,little,1835.0,21.0,radio/TV
122.0,41.0,female,3.0,rent,little,little,3868.0,24.0,car
123.0,24.0,male,1.0,rent,little,little,1768.0,12.0,furniture/equipment
124.0,63.0,male,2.0,free,little,rich,781.0,10.0,car
125.0,27.0,female,2.0,rent,little,moderate,1924.0,18.0,furniture/equipment
126.0,30.0,male,2.0,own,little,little,2121.0,12.0,car
127.0,40.0,male,1.0,own,little,little,701.0,12.0,radio/TV
128.0,30.0,male,2.0,own,little,moderate,639.0,12.0,repairs
129.0,34.0,male,3.0,own,little,moderate,1860.0,12.0,car
130.0,29.0,female,2.0,own,little,little,3499.0,12.0,car
131.0,24.0,female,2.0,own,little,moderate,8487.0,48.0,car
132.0,29.0,male,2.0,own,little,little,6887.0,36.0,education
133.0,27.0,male,1.0,own,little,little,2708.0,15.0,furniture/equipment
134.0,47.0,male,2.0,free,little,little,1984.0,18.0,furniture/equipment
135.0,21.0,female,2.0,own,moderate,little,10144.0,60.0,radio/TV
136.0,38.0,female,2.0,own,little,little,1240.0,12.0,radio/TV
137.0,27.0,male,2.0,own,rich,little,8613.0,27.0,car
138.0,66.0,male,1.0,own,quite rich,moderate,766.0,12.0,radio/TV
139.0,35.0,male,2.0,own,little,moderate,2728.0,15.0,radio/TV
140.0,44.0,female,1.0,rent,little,rich,1881.0,12.0,radio/TV
141.0,27.0,male,0.0,own,rich,rich,709.0,6.0,car
142.0,30.0,female,3.0,own,little,moderate,4795.0,36.0,radio/TV
143.0,27.0,male,3.0,own,little,little,3416.0,27.0,radio/TV
144.0,22.0,male,2.0,own,little,little,2462.0,18.0,furniture/equipment
145.0,23.0,female,2.0,own,little,little,2288.0,21.0,furniture/equipment
146.0,30.0,male,2.0,own,moderate,moderate,3566.0,48.0,business
147.0,39.0,female,2.0,own,little,little,860.0,6.0,car
148.0,51.0,female,2.0,own,moderate,little,682.0,12.0,car
149.0,28.0,male,2.0,own,little,little,5371.0,36.0,furniture/equipment
150.0,46.0,male,2.0,own,rich,little,1582.0,18.0,radio/TV
151.0,42.0,male,2.0,free,moderate,little,1346.0,6.0,radio/TV
152.0,38.0,male,2.0,own,little,little,1924.0,10.0,radio/TV
153.0,24.0,male,2.0,own,little,rich,5848.0,36.0,radio/TV
154.0,29.0,female,2.0,rent,rich,moderate,7758.0,24.0,car
155.0,36.0,male,3.0,rent,moderate,moderate,6967.0,24.0,business
156.0,20.0,female,2.0,rent,little,little,1282.0,12.0,furniture/equipment
157.0,48.0,male,2.0,own,moderate,little,1288.0,9.0,repairs
158.0,45.0,male,1.0,own,little,little,339.0,12.0,education
159.0,38.0,male,2.0,own,moderate,moderate,3512.0,24.0,car
160.0,34.0,male,1.0,own,little,little,1898.0,6.0,radio/TV
161.0,36.0,male,2.0,own,moderate,little,2872.0,24.0,radio/TV
162.0,30.0,female,2.0,own,little,little,1055.0,18.0,car
163.0,36.0,male,2.0,own,quite rich,little,1262.0,15.0,domestic appliances
164.0,70.0,male,3.0,free,little,moderate,7308.0,10.0,car
165.0,36.0,male,2.0,own,quite rich,little,909.0,36.0,car
166.0,32.0,male,2.0,own,quite rich,little,2978.0,6.0,furniture/equipment
167.0,33.0,female,2.0,own,little,little,1131.0,18.0,furniture/equipment
168.0,20.0,female,2.0,own,rich,moderate,1577.0,11.0,furniture/equipment
169.0,25.0,female,2.0,rent,little,little,3972.0,24.0,furniture/equipment
170.0,31.0,male,2.0,own,little,moderate,1935.0,24.0,business
171.0,33.0,male,2.0,rent,little,little,950.0,15.0,car
172.0,26.0,female,2.0,own,little,little,763.0,12.0,furniture/equipment
173.0,34.0,female,3.0,own,little,moderate,2064.0,24.0,furniture/equipment
174.0,33.0,male,2.0,own,little,moderate,1414.0,8.0,radio/TV
175.0,26.0,male,2.0,own,little,little,3414.0,21.0,education
176.0,53.0,female,3.0,own,little,little,7485.0,30.0,car
177.0,42.0,male,2.0,own,little,little,2577.0,12.0,furniture/equipment
178.0,52.0,male,2.0,own,quite rich,little,338.0,6.0,radio/TV
179.0,31.0,male,3.0,rent,little,little,1963.0,12.0,radio/TV
180.0,65.0,male,2.0,own,little,little,571.0,21.0,car
181.0,28.0,male,2.0,own,little,little,9572.0,36.0,business
182.0,30.0,male,3.0,own,little,moderate,4455.0,36.0,business
183.0,40.0,male,1.0,own,little,little,1647.0,21.0,car
184.0,50.0,male,2.0,own,rich,little,3777.0,24.0,furniture/equipment
185.0,36.0,male,2.0,own,little,moderate,884.0,18.0,car
186.0,31.0,male,2.0,own,little,little,1360.0,15.0,radio/TV
187.0,74.0,female,3.0,free,little,moderate,5129.0,9.0,car
188.0,68.0,male,0.0,free,little,moderate,1175.0,16.0,car
189.0,20.0,male,2.0,own,moderate,little,674.0,12.0,radio/TV
190.0,33.0,female,2.0,own,little,moderate,3244.0,18.0,furniture/equipment
191.0,54.0,male,3.0,own,rich,little,4591.0,24.0,business
192.0,34.0,male,1.0,free,moderate,moderate,3844.0,48.0,business
193.0,36.0,male,2.0,own,little,moderate,3915.0,27.0,business
194.0,29.0,male,2.0,rent,little,little,2108.0,6.0,radio/TV
195.0,21.0,male,2.0,rent,moderate,moderate,3031.0,45.0,radio/TV
196.0,34.0,female,3.0,own,little,moderate,1501.0,9.0,education
197.0,28.0,female,2.0,own,little,little,1382.0,6.0,radio/TV
198.0,27.0,female,2.0,rent,moderate,moderate,951.0,12.0,furniture/equipment
199.0,36.0,male,2.0,free,little,moderate,2760.0,24.0,car
200.0,40.0,male,3.0,own,little,moderate,4297.0,18.0,furniture/equipment
201.0,52.0,male,2.0,own,quite rich,little,936.0,9.0,education
202.0,27.0,male,1.0,own,little,little,1168.0,12.0,car
203.0,26.0,male,2.0,own,little,little,5117.0,27.0,business
204.0,21.0,male,2.0,rent,little,little,902.0,12.0,education
205.0,38.0,male,1.0,own,little,little,1495.0,12.0,car
206.0,38.0,male,3.0,free,little,little,10623.0,30.0,car
207.0,43.0,male,2.0,own,little,little,1935.0,12.0,furniture/equipment
208.0,26.0,male,2.0,own,little,moderate,1424.0,12.0,domestic appliances
209.0,21.0,male,1.0,own,little,little,6568.0,24.0,business
210.0,55.0,male,2.0,own,rich,little,1413.0,12.0,car
211.0,33.0,male,2.0,own,little,little,3074.0,9.0,radio/TV
212.0,45.0,female,1.0,own,little,little,3835.0,36.0,radio/TV
213.0,50.0,male,2.0,own,little,little,5293.0,27.0,business
214.0,66.0,male,3.0,own,little,rich,1908.0,30.0,business
215.0,51.0,male,2.0,own,little,little,3342.0,36.0,radio/TV
216.0,39.0,female,1.0,own,little,moderate,932.0,6.0,education
217.0,31.0,male,2.0,own,little,little,3104.0,18.0,business
218.0,23.0,male,2.0,own,little,rich,3913.0,36.0,radio/TV
219.0,24.0,male,1.0,rent,little,little,3021.0,24.0,furniture/equipment
220.0,64.0,female,2.0,own,little,little,1364.0,10.0,car
221.0,26.0,male,1.0,own,little,moderate,625.0,12.0,radio/TV
222.0,23.0,female,2.0,rent,little,little,1200.0,12.0,education
223.0,30.0,male,2.0,own,little,little,707.0,12.0,radio/TV
224.0,32.0,male,2.0,own,little,little,2978.0,24.0,business
225.0,30.0,male,2.0,own,little,little,4657.0,15.0,car
226.0,27.0,male,2.0,own,little,little,2613.0,36.0,repairs
227.0,27.0,male,2.0,own,rich,moderate,10961.0,48.0,radio/TV
228.0,53.0,male,3.0,free,little,little,7865.0,12.0,furniture/equipment
229.0,22.0,male,2.0,own,little,little,1478.0,9.0,radio/TV
230.0,22.0,male,2.0,free,little,little,3149.0,24.0,furniture/equipment
231.0,26.0,male,2.0,own,little,rich,4210.0,36.0,radio/TV
232.0,51.0,male,1.0,free,quite rich,little,2507.0,9.0,car
233.0,35.0,male,2.0,own,moderate,little,2141.0,12.0,radio/TV
234.0,25.0,male,1.0,own,little,moderate,866.0,18.0,radio/TV
235.0,42.0,male,1.0,own,little,little,1544.0,4.0,radio/TV
236.0,30.0,male,3.0,own,little,little,1823.0,24.0,radio/TV
237.0,23.0,male,0.0,own,little,moderate,14555.0,6.0,car
238.0,61.0,male,1.0,rent,moderate,moderate,2767.0,21.0,business
239.0,35.0,female,2.0,own,little,little,1291.0,12.0,radio/TV
240.0,39.0,male,2.0,own,little,little,2522.0,30.0,radio/TV
241.0,29.0,female,2.0,own,little,little,915.0,24.0,car
242.0,51.0,male,2.0,own,little,little,1595.0,6.0,radio/TV
243.0,24.0,male,2.0,free,little,little,4605.0,48.0,car
244.0,27.0,female,2.0,own,little,little,1185.0,12.0,business
245.0,35.0,female,1.0,own,quite rich,little,3447.0,12.0,education
246.0,25.0,male,2.0,own,little,little,1258.0,24.0,business
247.0,52.0,male,2.0,own,little,little,717.0,12.0,radio/TV
248.0,35.0,male,2.0,rent,moderate,little,1204.0,6.0,car
249.0,26.0,male,2.0,own,little,rich,1925.0,24.0,furniture/equipment
250.0,22.0,female,2.0,rent,little,little,433.0,18.0,radio/TV
251.0,39.0,female,1.0,own,rich,little,666.0,6.0,car
252.0,46.0,female,1.0,own,little,rich,2251.0,12.0,furniture/equipment
253.0,24.0,female,2.0,own,little,moderate,2150.0,30.0,car
254.0,35.0,male,2.0,own,moderate,little,4151.0,24.0,furniture/equipment
255.0,24.0,male,2.0,own,little,moderate,2030.0,9.0,furniture/equipment
256.0,27.0,male,1.0,own,little,moderate,7418.0,60.0,radio/TV
257.0,35.0,male,1.0,own,little,little,2684.0,24.0,radio/TV
258.0,29.0,male,2.0,free,little,little,2149.0,12.0,radio/TV
259.0,23.0,female,2.0,own,moderate,little,3812.0,15.0,car
260.0,57.0,female,1.0,own,moderate,little,1154.0,11.0,radio/TV
261.0,27.0,male,2.0,own,little,little,1657.0,12.0,furniture/equipment
262.0,55.0,female,2.0,own,little,little,1603.0,24.0,radio/TV
263.0,36.0,male,3.0,free,little,little,5302.0,18.0,car
264.0,57.0,female,1.0,free,little,little,2748.0,12.0,education
265.0,32.0,male,1.0,own,little,little,1231.0,10.0,car
266.0,37.0,male,2.0,own,little,moderate,802.0,15.0,radio/TV
267.0,36.0,male,2.0,own,little,little,6304.0,36.0,business
268.0,38.0,female,2.0,own,little,little,1533.0,24.0,radio/TV
269.0,45.0,male,3.0,own,little,little,8978.0,14.0,car
270.0,25.0,male,2.0,own,little,little,999.0,24.0,radio/TV
271.0,32.0,male,2.0,own,little,little,2662.0,18.0,car
272.0,37.0,female,2.0,rent,quite rich,little,1402.0,12.0,furniture/equipment
273.0,36.0,male,3.0,free,little,moderate,12169.0,48.0,car
274.0,28.0,male,2.0,own,little,moderate,3060.0,48.0,radio/TV
275.0,34.0,male,1.0,own,little,little,11998.0,30.0,repairs
276.0,32.0,male,2.0,own,little,little,2697.0,9.0,radio/TV
277.0,26.0,female,2.0,own,little,little,2404.0,18.0,radio/TV
278.0,49.0,male,1.0,own,little,little,1262.0,12.0,furniture/equipment
279.0,32.0,female,2.0,own,little,little,4611.0,6.0,furniture/equipment
280.0,29.0,male,3.0,rent,moderate,little,1901.0,24.0,radio/TV
281.0,23.0,male,2.0,rent,rich,little,3368.0,15.0,car
282.0,50.0,male,2.0,own,little,little,1574.0,12.0,furniture/equipment
283.0,49.0,male,1.0,own,little,rich,1445.0,18.0,radio/TV
284.0,63.0,male,2.0,own,little,little,1520.0,15.0,furniture/equipment
285.0,37.0,male,2.0,own,moderate,moderate,3878.0,24.0,car
286.0,35.0,female,1.0,own,little,little,10722.0,47.0,car
287.0,26.0,male,2.0,own,little,little,4788.0,48.0,car
288.0,31.0,male,3.0,free,moderate,moderate,7582.0,48.0,vacation/others
289.0,49.0,female,2.0,own,little,moderate,1092.0,12.0,radio/TV
290.0,48.0,male,2.0,own,little,little,1024.0,24.0,radio/TV
291.0,26.0,male,2.0,own,little,little,1076.0,12.0,business
292.0,28.0,male,3.0,rent,little,moderate,9398.0,36.0,car
293.0,44.0,female,3.0,free,little,little,6419.0,24.0,car
294.0,56.0,male,2.0,free,little,rich,4796.0,42.0,car
295.0,46.0,male,3.0,own,little,little,7629.0,48.0,business
296.0,26.0,female,2.0,own,little,moderate,9960.0,48.0,furniture/equipment
297.0,20.0,female,2.0,rent,little,little,4675.0,12.0,car
298.0,45.0,male,1.0,own,little,little,1287.0,10.0,car
299.0,43.0,male,2.0,own,little,little,2515.0,18.0,furniture/equipment
300.0,32.0,male,2.0,own,rich,moderate,2745.0,21.0,furniture/equipment
301.0,54.0,female,0.0,own,little,little,672.0,6.0,car
302.0,42.0,female,2.0,own,little,moderate,3804.0,36.0,radio/TV
303.0,37.0,male,1.0,own,little,rich,1344.0,24.0,car
304.0,49.0,male,2.0,own,little,little,1038.0,10.0,car
305.0,44.0,male,2.0,free,quite rich,little,10127.0,48.0,car
306.0,33.0,male,2.0,own,rich,little,1543.0,6.0,furniture/equipment
307.0,24.0,female,1.0,rent,little,little,4811.0,30.0,car
308.0,33.0,male,1.0,own,moderate,little,727.0,12.0,radio/TV
309.0,24.0,female,2.0,own,little,moderate,1237.0,8.0,furniture/equipment
310.0,22.0,male,1.0,rent,little,moderate,276.0,9.0,car
311.0,40.0,male,0.0,free,little,moderate,5381.0,48.0,vacation/others
312.0,25.0,male,2.0,own,moderate,little,5511.0,24.0,furniture/equipment
313.0,26.0,female,2.0,own,little,rich,3749.0,24.0,furniture/equipment
314.0,25.0,male,1.0,own,little,moderate,685.0,12.0,car
315.0,29.0,male,1.0,own,little,rich,1494.0,4.0,car
316.0,31.0,male,2.0,own,little,little,2746.0,36.0,furniture/equipment
317.0,38.0,male,1.0,own,little,little,708.0,12.0,furniture/equipment
318.0,48.0,female,1.0,own,little,moderate,4351.0,24.0,furniture/equipment
319.0,32.0,male,2.0,own,little,little,701.0,12.0,education
320.0,27.0,female,1.0,own,little,little,3643.0,15.0,furniture/equipment
321.0,28.0,male,3.0,own,little,moderate,4249.0,30.0,car
322.0,32.0,male,2.0,own,little,little,1938.0,24.0,radio/TV
323.0,34.0,male,3.0,free,little,little,2910.0,24.0,car
324.0,28.0,male,2.0,own,rich,little,2659.0,18.0,furniture/equipment
325.0,36.0,female,2.0,own,little,little,1028.0,18.0,car
326.0,39.0,male,1.0,own,little,little,3398.0,8.0,car
327.0,49.0,male,2.0,rent,little,little,5801.0,12.0,furniture/equipment
328.0,34.0,female,2.0,own,rich,little,1525.0,24.0,car
329.0,31.0,male,2.0,own,little,rich,4473.0,36.0,radio/TV
330.0,28.0,male,2.0,own,little,moderate,1068.0,6.0,radio/TV
331.0,75.0,male,3.0,free,little,little,6615.0,24.0,car
332.0,30.0,female,2.0,own,moderate,little,1864.0,18.0,education
333.0,24.0,female,3.0,own,moderate,moderate,7408.0,60.0,car
334.0,24.0,female,1.0,rent,moderate,little,11590.0,48.0,car
335.0,23.0,male,2.0,rent,little,little,4110.0,24.0,furniture/equipment
336.0,44.0,male,3.0,rent,little,little,3384.0,6.0,furniture/equipment
337.0,23.0,female,1.0,own,little,moderate,2101.0,13.0,radio/TV
338.0,24.0,female,2.0,rent,little,little,1275.0,15.0,domestic appliances
339.0,28.0,male,2.0,own,little,little,4169.0,24.0,furniture/equipment
340.0,31.0,male,1.0,own,little,moderate,1521.0,10.0,furniture/equipment
341.0,24.0,female,2.0,free,little,moderate,5743.0,24.0,education
342.0,26.0,female,1.0,rent,little,little,3599.0,21.0,furniture/equipment
343.0,25.0,male,2.0,rent,quite rich,moderate,3213.0,18.0,radio/TV
344.0,33.0,male,3.0,own,little,moderate,4439.0,18.0,business
345.0,37.0,male,1.0,own,little,rich,3949.0,10.0,car
346.0,43.0,female,1.0,own,little,little,1459.0,15.0,radio/TV
347.0,23.0,male,2.0,own,little,moderate,882.0,13.0,radio/TV
348.0,23.0,female,0.0,rent,quite rich,moderate,3758.0,24.0,radio/TV
349.0,34.0,male,1.0,own,moderate,little,1743.0,6.0,business
350.0,32.0,male,2.0,free,rich,moderate,1136.0,9.0,education
351.0,23.0,female,2.0,rent,little,little,1236.0,9.0,domestic appliances
352.0,29.0,female,2.0,own,little,moderate,959.0,9.0,furniture/equipment
353.0,38.0,male,3.0,own,little,little,3229.0,18.0,car
354.0,28.0,male,2.0,rent,little,little,6199.0,12.0,radio/TV
355.0,46.0,male,2.0,free,quite rich,little,727.0,10.0,education
356.0,23.0,male,1.0,own,little,moderate,1246.0,24.0,car
357.0,49.0,male,2.0,own,little,little,2331.0,12.0,radio/TV
358.0,26.0,male,3.0,own,little,little,4463.0,36.0,radio/TV
359.0,28.0,male,2.0,own,little,little,776.0,12.0,radio/TV
360.0,23.0,female,2.0,rent,little,little,2406.0,30.0,furniture/equipment
361.0,61.0,male,2.0,free,little,moderate,1239.0,18.0,education
362.0,37.0,male,3.0,own,little,rich,3399.0,12.0,radio/TV
363.0,36.0,female,2.0,own,little,rich,2247.0,12.0,car
364.0,21.0,male,2.0,rent,little,little,1766.0,6.0,furniture/equipment
365.0,25.0,male,0.0,own,little,little,2473.0,18.0,furniture/equipment
366.0,36.0,male,2.0,own,little,little,1542.0,12.0,business
367.0,27.0,male,2.0,own,little,little,3850.0,18.0,car
368.0,22.0,female,2.0,rent,little,little,3650.0,18.0,furniture/equipment
369.0,42.0,male,2.0,own,little,little,3446.0,36.0,furniture/equipment
370.0,40.0,female,2.0,rent,little,moderate,3001.0,18.0,furniture/equipment
371.0,36.0,male,2.0,own,little,little,3079.0,36.0,car
372.0,33.0,male,2.0,own,little,little,6070.0,18.0,radio/TV
373.0,23.0,female,2.0,rent,little,little,2146.0,10.0,furniture/equipment
374.0,63.0,male,3.0,free,little,little,13756.0,60.0,car
375.0,60.0,female,3.0,free,moderate,moderate,14782.0,60.0,vacation/others
376.0,37.0,female,2.0,rent,little,little,7685.0,48.0,business
377.0,34.0,male,2.0,own,little,little,2320.0,18.0,radio/TV
378.0,36.0,male,2.0,free,little,little,846.0,7.0,radio/TV
379.0,57.0,male,3.0,free,little,moderate,14318.0,36.0,car
380.0,52.0,female,1.0,own,moderate,little,362.0,6.0,car
381.0,39.0,male,2.0,own,little,little,2212.0,20.0,furniture/equipment
382.0,38.0,female,3.0,free,little,moderate,12976.0,18.0,car
383.0,25.0,female,2.0,rent,little,little,1283.0,22.0,car
384.0,26.0,male,2.0,own,little,rich,1330.0,12.0,car
385.0,26.0,male,1.0,own,moderate,little,4272.0,30.0,business
386.0,25.0,female,2.0,own,little,little,2238.0,18.0,radio/TV
387.0,21.0,female,2.0,rent,little,little,1126.0,18.0,radio/TV
388.0,40.0,male,3.0,own,little,moderate,7374.0,18.0,furniture/equipment
389.0,27.0,male,2.0,own,quite rich,moderate,2326.0,15.0,business
390.0,27.0,female,2.0,own,little,little,1449.0,9.0,business
391.0,30.0,male,3.0,own,little,little,1820.0,18.0,car
392.0,19.0,female,1.0,rent,rich,moderate,983.0,12.0,furniture/equipment
393.0,39.0,male,3.0,free,little,little,3249.0,36.0,car
394.0,31.0,female,2.0,own,little,little,1957.0,6.0,radio/TV
395.0,31.0,male,3.0,own,little,little,2406.0,9.0,furniture/equipment
396.0,32.0,male,2.0,rent,moderate,moderate,11760.0,39.0,education
397.0,55.0,female,3.0,free,little,little,2578.0,12.0,furniture/equipment
398.0,46.0,male,2.0,own,little,little,2348.0,36.0,furniture/equipment
399.0,46.0,male,2.0,rent,little,moderate,1223.0,12.0,car
400.0,43.0,female,1.0,own,rich,little,1516.0,24.0,radio/TV
401.0,39.0,male,2.0,own,little,little,1473.0,18.0,radio/TV
